Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
ISOPROPYLCYCLOPENTANE,"112,215","0,303",593,"30,002","0,42","0,259","161,79","399,58","161,79","9,69E-09","1,45E-01","15,9377",,,,,,,,,,,,,,,,,
1-METHYL-1-ETHYLCYCLOPENTANE,"112,215","0,3298",582,"29,805","0,428","0,267","129,35","394,672","129,35","2,14E-12","1,45E-01","15,8385",,,,,,,,,,,,,,,,,
n-PROPYLCYCLOPENTANE,"112,215","0,3266",596,"29,805","0,428","0,261","155,81","404,11","155,81","4,53E-10","1,45E-01","16,3562",,,,,,,,,,,,,,,,,
n-BUTYLCYCLOPENTANE,"126,242","0,3719",621,"26,844","0,483","0,254","165,18","429,75","165,18","3,65E-10","1,62E-01","16,3854",,,,,,,,,,,,,,,,,
METHYLCYCLOHEXANE,"98,188","0,235","572,19","34,256","0,368","0,269","146,58","374,084","146,58","1,51E-09","1,28E-01","16,0617",,,,,,,,,,,,,,,,,
"1,1-DIMETHYLCYCLOHEXANE","112,215","0,2326","591,15",29,"0,45","0,269","239,66","392,7","239,66","5,98E-04","1,44E-01","15,6733",,,,,,,,,,,,,,,,,
"cis-1,2-DIMETHYLCYCLOHEXANE","112,215","0,2324","606,15",29,"0,46","0,268","223,16","402,94","223,16","6,33E-05","1,42E-01","16,2489",,,,,,,,,,,,,,,,,
"trans-1,2-DIMETHYLCYCLOHEXANE","112,215","0,2379","596,15",29,"0,46","0,273","184,99","396,58","184,99","7,93E-07","1,45E-01","15,7774",,,,,,,,,,,,,,,,,
"cis-1,3-DIMETHYLCYCLOHEXANE","112,215","0,2366","591,15",29,"0,45","0,269","197,58","393,24","197,58","5,55E-06","1,47E-01","15,6418",,,,,,,,,,,,,,,,,
"trans-1,3-DIMETHYLCYCLOHEXANE","112,215","0,2335",598,29,"0,46","0,272","183,07","397,61","183,05","4,17E-07","1,44E-01","16,0414",,,,,,,,,,,,,,,,,
"cis-1,4-DIMETHYLCYCLOHEXANE","112,215","0,2311","598,15",29,"0,46","0,272","185,72","397,472","185,72","6,95E-07","1,44E-01","15,9814",,,,,,,,,,,,,,,,,
"trans-1,4-DIMETHYLCYCLOHEXANE","112,215","0,237","590,15",29,"0,45","0,269","236,21","392,51","236,21","4,43E-04","1,48E-01","15,5008",,,,,,,,,,,,,,,,,
ETHYLCYCLOHEXANE,"112,215","0,2455","609,15","30,002","0,43","0,258","161,839","404,945","161,839","3,53E-09","1,43E-01","16,3369",,,,,,,,,,,,,,,,,
ISOPROPYLCYCLOHEXANE,"126,242","0,3295",627,"28,127","0,5024","0,254","183,76","427,91","183,76","2,90E-08","1,58E-01","16,2911",,,,,,,,,,,,,,,,,
n-PROPYLCYCLOHEXANE,"126,242","0,2595","639,15","27,703","0,477","0,252","178,25","429,897","178,25","8,48E-09","1,60E-01","16,348",,,,,,,,,,,,,,,,,
n-BUTYLCYCLOHEXANE,"140,269","0,2743",667,"25,364","0,534","0,247","198,42","454,131","198,42","3,61E-08","1,76E-01","16,4002",,,,,,,,,,,,,,,,,
n-DECYLCYCLOHEXANE,"224,43","0,6627","751,25","13,817","0,858","0,227","271,42","570,75","271,42","4,46E-08","2,75E-01","16,677",,,,,,,,,,,,,,,,,
cis-DECAHYDRONAPHTHALENE,"138,253","0,2939","702,25","31,976","0,48","0,266","230,2","468,965","230,2","1,55E-06","1,55E-01","17,6253",,,,,,,,,,,,,,,,,
trans-DECAHYDRONAPHTHALENE,"138,253","0,2724","687,05","29,312","0,48","0,25","242,79","460,46","242,79","1,33E-05","1,59E-01","17,0094",,,,,,,,,,,,,,,,,
BICYCLOHEXYL,"166,307","0,4276",727,"25,265","0,598","0,253","276,78","512,19","276,78","2,25E-05","1,88E-01","16,9912",,,,,,,,,,,,,,,,,
ETHYLENE,"28,054","0,0865","282,34","49,741","0,131","0,281",104,"169,41",104,"1,21E-03","4,93E-02","12,4365",,,,,,,,,,,,,,,,,
PROPYLENE,"42,081","0,1398","365,57","46,04","0,1884","0,289","87,89","225,46","87,89","9,42E-09","6,90E-02","13,1524",,,,,,,,,,,,,,,,,
1-BUTENE,"56,108","0,1905","419,95","39,901","0,2393","0,277","87,8","266,9","87,8","7,09E-12","8,96E-02","13,6643",,,,,,,,,,,,,,,,,
1-PENTENE,"70,134","0,2311","464,78","34,671","0,295","0,268","107,93","303,11","107,93","3,48E-11","1,10E-01","14,4825",,,,,,,,,,,,,,,,,
1-HEXENE,"84,161","0,2804","504,03","30,989","0,354","0,265","133,39","336,63","133,39","2,49E-09","1,26E-01","15,0063",,,,,,,,,,,,,,,,,
1-HEPTENE,"98,188","0,331","537,29","27,93","0,413","0,262","154,27","366,79","154,27","1,26E-08","1,42E-01","15,3132",,,,,,,,,,,,,,,,,
1-OCTENE,"112,215","0,3764","566,65","25,344","0,46","0,251","171,45","394,44","171,45","2,72E-08","1,58E-01","15,5198",,,,,,,,,,,,,,,,,
1-NONENE,"126,242","0,4171","593,25","22,995","0,528","0,249","191,78","420,018","191,78","8,44E-08","1,74E-01","15,7185",,,,,,,,,,,,,,,,,
1-DECENE,"140,269","0,48","616,4","21,89","0,584","0,253","206,89","443,75","206,89","1,71E-07","1,90E-01","15,8194",,,,,,,,,,,,,,,,,
1-UNDECENE,"154,296","0,5175",638,"20,035","0,642","0,246","223,99","465,822","223,99","2,03E-07","2,07E-01","15,9588",,,,,,,,,,,,,,,,,
